"PERIOD";"COMPONENT";"MEASURE";"GENDER";"POPULATION_GROUP";"AGE";"VALUE";"STATUS";"UNIT_MEASURE"
2013;"ALV+SH";"in % aller Beziehenden";"M";"Total";"Total";1.7273;"A";"%"
2013;"ALV+SH";"in % ALV";"M";"Total";"Total";3.8604;"A";"%"
2013;"ALV+SH";"in % SH";"M";"Total";"Total";7.1415;"A";"%"
2013;"ALV+SH";"Absolut";"F";"Total";"Total";6083;"A";"n"
2013;"ALV+SH";"in % aller Beziehenden";"F";"Total";"Total";1.9123;"A";"%"
2013;"ALV+SH";"in % ALV";"F";"Total";"Total";4.5942;"A";"%"
2013;"ALV+SH";"in % SH";"F";"Total";"Total";6.9339;"A";"%"
2013;"ALV+SH";"Absolut";"Total";"CH";"Total";6162;"A";"n"
2013;"ALV+SH";"in % aller Beziehenden";"Total";"CH";"Total";1.4485;"A";"%"
2013;"ALV+SH";"in % ALV";"Total";"CH";"Total";3.7923;"A";"%"
2013;"ALV+SH";"in % SH";"Total";"CH";"Total";6.6362;"A";"%"
2013;"ALV+SH";"Absolut";"Total";"AUSL";"Total";6161;"A";"n"
2013;"ALV+SH";"in % aller Beziehenden";"Total";"AUSL";"Total";2.4262;"A";"%"
2013;"ALV+SH";"in % ALV";"Total";"AUSL";"Total";4.683;"A";"%"
2013;"ALV+SH";"in % SH";"Total";"AUSL";"Total";7.4905;"A";"%"
2013;"ALV+SH";"Absolut";"Total";"Total";"18-24";1772;"A";"n"
2013;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"18-24";2.5746;"A";"%"
2013;"ALV+SH";"in % ALV";"Total";"Total";"18-24";4.6224;"A";"%"
2013;"ALV+SH";"in % SH";"Total";"Total";"18-24";6.8075;"A";"%"
2013;"ALV+SH";"Absolut";"Total";"Total";"25-39";5264;"A";"n"
2013;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"25-39";2.5814;"A";"%"
2013;"ALV+SH";"in % ALV";"Total";"Total";"25-39";4.3881;"A";"%"
2013;"ALV+SH";"in % SH";"Total";"Total";"25-39";8.5211;"A";"%"
2013;"ALV+SH";"Absolut";"Total";"Total";"40-54";4191;"A";"n"
2013;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"40-54";1.7577;"A";"%"
2013;"ALV+SH";"in % ALV";"Total";"Total";"40-54";4.3039;"A";"%"
2013;"ALV+SH";"in % SH";"Total";"Total";"40-54";6.7731;"A";"%"
2013;"ALV+SH";"Absolut";"Total";"Total";"55-65";1096;"A";"n"
2013;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"55-65";0.6517;"A";"%"
2013;"ALV+SH";"in % ALV";"Total";"Total";"55-65";2.856;"A";"%"
2013;"ALV+SH";"in % SH";"Total";"Total";"55-65";4.3112;"A";"%"
2013;"ALV+IV";"Absolut";"Total";"Total";"Total";2725;"A";"n"
2013;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"Total";0.4011;"A";"%"
2013;"ALV+IV";"in % ALV";"Total";"Total";"Total";0.9267;"A";"%"
