"PERIOD";"COMPONENT";"GENDER";"POPULATION_GROUP";"AGE";"VALUE";"UNIT_MEASURE"
2014;"ALV";"Total";"Total";"18-24";5.5065;"%"
2014;"ALV";"Total";"Total";"25-39";122671;"n"
2014;"ALV";"Total";"Total";"25-39";7.2133;"%"
2014;"ALV";"Total";"Total";"40-54";99917;"n"
2014;"ALV";"Total";"Total";"40-54";5.2519;"%"
2014;"ALV";"Total";"Total";"55-65";40469;"n"
2014;"ALV";"Total";"Total";"55-65";3.6957;"%"
2014;"SH";"Total";"Total";"Total";179963;"n"
2014;"SH";"Total";"Total";"Total";3.3462;"%"
2014;"SH";"M";"Total";"Total";90533;"n"
2014;"SH";"M";"Total";"Total";3.3384;"%"
2014;"SH";"F";"Total";"Total";89430;"n"
2014;"SH";"F";"Total";"Total";3.354;"%"
2014;"SH";"Total";"CH";"Total";95505;"n"
2014;"SH";"Total";"CH";"Total";2.4513;"%"
2014;"SH";"Total";"AUSL";"Total";84458;"n"
2014;"SH";"Total";"AUSL";"Total";5.6989;"%"
2014;"SH";"Total";"Total";"18-24";25915;"n"
2014;"SH";"Total";"Total";"18-24";3.8107;"%"
2014;"SH";"Total";"Total";"25-39";62975;"n"
2014;"SH";"Total";"Total";"25-39";3.7031;"%"
2014;"SH";"Total";"Total";"40-54";63783;"n"
2014;"SH";"Total";"Total";"40-54";3.3526;"%"
2014;"SH";"Total";"Total";"55-65";27290;"n"
2014;"SH";"Total";"Total";"55-65";2.4922;"%"
2014;"IV";"Total";"Total";"Total";242525;"n"
2014;"IV";"Total";"Total";"Total";4.5094;"%"
2014;"IV";"M";"Total";"Total";129834;"n"
2014;"IV";"M";"Total";"Total";4.7877;"%"
2014;"IV";"F";"Total";"Total";112691;"n"
2014;"IV";"F";"Total";"Total";4.2264;"%"
2014;"IV";"Total";"CH";"Total";188303;"n"
2014;"IV";"Total";"CH";"Total";4.833;"%"
2014;"IV";"Total";"AUSL";"Total";54222;"n"
2014;"IV";"Total";"AUSL";"Total";3.6587;"%"
2014;"IV";"Total";"Total";"18-24";8872;"n"
2014;"IV";"Total";"Total";"18-24";1.3046;"%"
2014;"IV";"Total";"Total";"25-39";34911;"n"
2014;"IV";"Total";"Total";"25-39";2.0528;"%"
2014;"IV";"Total";"Total";"40-54";89697;"n"
2014;"IV";"Total";"Total";"40-54";4.7148;"%"
2014;"IV";"Total";"Total";"55-65";109045;"n"
2014;"IV";"Total";"Total";"55-65";9.9582;"%"
2013;"Total";"Total";"Total";"Total";679352;"n"
2013;"Total";"Total";"Total";"Total";12.7598;"%"
2013;"Total";"M";"Total";"Total";361247;"n"
2013;"Total";"M";"Total";"Total";13.4641;"%"
2013;"Total";"F";"Total";"Total";318105;"n"
2013;"Total";"F";"Total";"Total";12.0444;"%"
2013;"Total";"Total";"CH";"Total";425415;"n"
2013;"Total";"Total";"CH";"Total";10.9435;"%"
2013;"Total";"Total";"AUSL";"Total";253937;"n"
2013;"Total";"Total";"AUSL";"Total";17.6744;"%"
2013;"Total";"Total";"Total";"18-24";68827;"n"
2013;"Total";"Total";"Total";"18-24";10.1191;"%"
2013;"Total";"Total";"Total";"25-39";203921;"n"
2013;"Total";"Total";"Total";"25-39";12.1852;"%"
2013;"Total";"Total";"Total";"40-54";238439;"n"
2013;"Total";"Total";"Total";"40-54";12.5823;"%"
2013;"Total";"Total";"Total";"55-65";168165;"n"
2013;"Total";"Total";"Total";"55-65";15.6371;"%"
2013;"ALV";"Total";"Total";"Total";294047;"n"
2013;"ALV";"Total";"Total";"Total";5.5229;"%"
2013;"ALV";"M";"Total";"Total";161640;"n"
2013;"ALV";"M";"Total";"Total";6.0245;"%"
2013;"ALV";"F";"Total";"Total";132407;"n"
2013;"ALV";"F";"Total";"Total";5.0133;"%"
2013;"ALV";"Total";"CH";"Total";162487;"n"
2013;"ALV";"Total";"CH";"Total";4.1798;"%"
2013;"ALV";"Total";"AUSL";"Total";131560;"n"
2013;"ALV";"Total";"AUSL";"Total";9.1568;"%"
2013;"ALV";"Total";"Total";"18-24";38335;"n"
2013;"ALV";"Total";"Total";"18-24";5.6361;"%"
2013;"ALV";"Total";"Total";"25-39";119961;"n"
2013;"ALV";"Total";"Total";"25-39";7.1682;"%"
2013;"ALV";"Total";"Total";"40-54";97376;"n"
2013;"ALV";"Total";"Total";"40-54";5.1385;"%"
2013;"ALV";"Total";"Total";"55-65";38375;"n"
2013;"ALV";"Total";"Total";"55-65";3.5684;"%"
2013;"SH";"Total";"Total";"Total";175105;"n"
2013;"SH";"Total";"Total";"Total";3.2889;"%"
2013;"SH";"M";"Total";"Total";87376;"n"
2013;"SH";"M";"Total";"Total";3.2566;"%"
2013;"SH";"F";"Total";"Total";87729;"n"
2013;"SH";"F";"Total";"Total";3.3217;"%"
2013;"SH";"Total";"CH";"Total";92854;"n"
2013;"SH";"Total";"CH";"Total";2.3886;"%"
2013;"SH";"Total";"AUSL";"Total";82251;"n"
2013;"SH";"Total";"AUSL";"Total";5.7248;"%"
2013;"SH";"Total";"Total";"18-24";26030;"n"
2013;"SH";"Total";"Total";"18-24";3.827;"%"
2013;"SH";"Total";"Total";"25-39";61776;"n"
2013;"SH";"Total";"Total";"25-39";3.6914;"%"
2013;"SH";"Total";"Total";"40-54";61877;"n"
2013;"SH";"Total";"Total";"40-54";3.2652;"%"
2013;"SH";"Total";"Total";"55-65";25422;"n"
2013;"SH";"Total";"Total";"55-65";2.3639;"%"
